************************************************************************************************************************************************************************************************************
*    Row   *      nstb *      chan *       row *       col *        pp *     pprow *     ppcol *   qtcrate *    qtslot *    qtcard *    qtchan *   hvboard *    hvchip *    hvchan * hvaddress * cell_type *
*      954 *         3 *       217 *        18 *         0 *         2 *        15 *        16 *         4 *         1 *         0 *         1 *         2 *         2 *         1 *        E2 * small_rus *
*      955 *         3 *       218 *        18 *         1 *         2 *        15 *        15 *         4 *         1 *         1 *         1 *         2 *         2 *         1 *        F0 * small_rus *
*      956 *         3 *       219 *        18 *         2 *         2 *        15 *        14 *         4 *         1 *         2 *         1 *         2 *         2 *         1 *        F6 * small_rus *
*      957 *         3 *       220 *        18 *         3 *         2 *        15 *        13 *         4 *         1 *         3 *         1 *         2 *         2 *         1 *        FC * small_rus *
*      958 *         3 *       221 *        18 *         4 *         2 *        15 *        12 *         4 *         3 *         1 *         0 *         2 *         1 *         1 *        FE * small_yal *
*      959 *         3 *       222 *        18 *         5 *         2 *        15 *        11 *         4 *         3 *         1 *         1 *         2 *         1 *         1 *        FA * small_yal *
*      960 *         3 *       223 *        18 *         6 *         2 *        15 *        10 *         4 *         3 *         1 *         2 *         2 *         1 *         1 *        F6 * small_yal *
*      961 *         3 *       224 *        18 *         7 *         2 *        15 *         9 *         4 *         3 *         1 *         3 *         2 *         1 *         1 *        F2 * small_yal *
*      962 *         3 *       225 *        18 *         8 *         2 *        15 *         8 *         4 *         3 *         1 *         4 *         2 *         1 *         1 *        EE * small_yal *
*      963 *         3 *       226 *        18 *         9 *         2 *        15 *         7 *         4 *         3 *         1 *         5 *         2 *         1 *         1 *        EA * small_yal *
*      964 *         3 *       227 *        18 *        10 *         2 *        15 *         6 *         4 *         3 *         1 *         6 *         2 *         1 *         1 *        E6 * small_yal *
*      965 *         3 *       228 *        18 *        11 *         2 *        15 *         5 *         4 *         3 *         1 *         7 *         2 *         1 *         1 *        E2 * small_yal *
*      966 *         3 *       229 *        19 *         0 *         2 *        16 *        16 *         4 *         1 *         0 *         2 *         2 *         2 *         1 *        E8 * small_rus *
*      967 *         3 *       230 *        19 *         1 *         2 *        16 *        15 *         4 *         1 *         1 *         2 *         2 *         2 *         1 *        F2 * small_rus *
*      968 *         3 *       231 *        19 *         2 *         2 *        16 *        14 *         4 *         1 *         2 *         2 *         2 *         2 *         1 *        F8 * small_rus *
*      969 *         3 *       232 *        19 *         3 *         2 *        16 *        13 *         4 *         1 *         3 *         2 *         2 *         2 *         1 *        FE * small_rus *
*      970 *         3 *       233 *        19 *         4 *         2 *        16 *        12 *         4 *         3 *         0 *         0 *         2 *         1 *         1 *        FC * small_yal *
*      971 *         3 *       234 *        19 *         5 *         2 *        16 *        11 *         4 *         3 *         0 *         1 *         2 *         1 *         1 *        F8 * small_yal *
